Method,Year,Source,Backbone,GridType,Scenario,DOI,CodeURL
DPUF,2019,J.FluidMech.,CNN,3.1.1OnRegularGrids,CylinderFlow,https://doi.org/10.1000/DPUF,https://github.com/example/DPUF
TF-Net,2020,KDD2020,CNN,3.1.1OnRegularGrids,Turbulentflow,https://doi.org/10.1000/TF-Net,https://github.com/example/TF-Net
EquNet,2021,ICLR2021,CNN,3.1.1OnRegularGrids,"Rayleigh-Bénard;Oceans;Heat",https://doi.org/10.1000/EquNet,https://github.com/example/EquNet
RSteer,2022,ICML2022,CNN,3.1.1OnRegularGrids,smoke,https://doi.org/10.1000/RSteer,https://github.com/example/RSteer
GNS,2020,ICML2020,GNN,3.1.2OnIrregularMesh,Variousmaterials,https://doi.org/10.1000/GNS,https://github.com/example/GNS
MGN,2021,ICLR2021,GNN,3.1.2OnIrregularMesh,"CylinderFlow;Transonic",https://doi.org/10.1000/MGN,https://github.com/example/MGN
MP-PDE,2022,ICLR2022,GNN,3.1.2OnIrregularMesh,"Burgers;Wave;Navier-Stokes",https://doi.org/10.1000/MP-PDE,https://github.com/example/MP-PDE
Hanetal.,2022,ICLR2022,"GNN/Transformer",3.1.2OnIrregularMesh,"CylinderFlow;Transonic",https://doi.org/10.1000/Hanetal,https://github.com/example/Hanetal
TIE,2022,ECCV2022,Transformer,3.1.2OnIrregularMesh,"FluidFall;FluidShake",https://doi.org/10.1000/TIE,https://github.com/example/TIE
MAgNet,2022,NeurIPS2022,"GNN/CNN",3.1.2OnIrregularMesh,Burgers,https://doi.org/10.1000/MAgNet,https://github.com/example/MAgNet
GNODE,2023,ICLR2023,GNN,3.1.2OnIrregularMesh,"N-pendulums;Spring",https://doi.org/10.1000/GNODE,https://github.com/example/GNODE
FCN,2022,PHYSFLUIDS.,GNN,3.1.2OnIrregularMesh,Navier-Stokes,https://doi.org/10.1000/FCN,https://github.com/example/FCN
Zhaoetal.,2023,Arxiv2023,GNN,3.1.2OnIrregularMesh,Navier-Stokes,https://doi.org/10.1000/Zhaoetal,https://github.com/example/Zhaoetal
DINo,2023,ICLR2023,FourierNet,3.1.2OnIrregularMesh,"Wave;Navier-Stokes;ShallowWater",https://doi.org/10.1000/DINo,https://github.com/example/DINo
LAMP,2023,ICLR2023,GNN,3.1.2OnIrregularMesh,"NonlinearPDE;Mesh",https://doi.org/10.1000/LAMP,https://github.com/example/LAMP
CARE,2023,NeurIPS2023,GNN,3.1.2OnIrregularMesh,"CylinderFlow;Particle",https://doi.org/10.1000/CARE,https://github.com/example/CARE
BENO,2024,ICLR2024,"GNN/Transformer",3.1.2OnIrregularMesh,Poisson,https://doi.org/10.1000/BENO,https://github.com/example/BENO
HAMLET,2024,Arxiv2024,"GNN/Transformer",3.1.2OnIrregularMesh,"ShallowWater;Darcy;Diffusion;Airfoil",https://doi.org/10.1000/HAMLET,https://github.com/example/HAMLET
CC,2020,ICLR2020,CNN,3.1.3OnLagrangianParticles,"Particles;DamBreak",https://doi.org/10.1000/CC,https://github.com/example/CC
Wesselsetal.,2021,ComputMethodApplM,MLP,3.1.3OnLagrangianParticles,DamBreak,https://doi.org/10.1000/Wesselsetal,https://github.com/example/Wesselsetal
FGN,2022,ComputGraph,GNN,3.1.3OnLagrangianParticles,Particles,https://doi.org/10.1000/FGN,https://github.com/example/FGN
